date,year,quarter,url,status
2003-04-29,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030429.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-04-30,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030430.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-01,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030501.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-02,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030502.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-03,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030503.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-04,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030504.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-05,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030505.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-06,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030506.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-07,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030507.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-08,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030508.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-09,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030509.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-10,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030510.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-11,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030511.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-12,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030512.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-13,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030513.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-14,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030514.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-15,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030515.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-16,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030516.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-17,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030517.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-18,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030518.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-19,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030519.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-20,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030520.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-21,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030521.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-22,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030522.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-23,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030523.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-24,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030524.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
2003-05-25,2003,2,https://www.sec.gov/dera/data/Public-EDGAR-log-file-data/2003/Qtr2/log20030525.zip,NOT_DOWNLOADED_SANDBOX_NETWORK_BLOCKED
